DecryptedTask{initialCode=<4,2,1><A(0),A(0),A(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),B(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),C(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),D(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),E(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),F(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),G(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),H(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),I(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),J(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),K(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),L(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),M(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),N(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),O(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),P(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),Q(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),R(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),S(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),T(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),U(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),V(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),W(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),X(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),Y(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),Z(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0), (0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),!(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),?(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),A(0),'(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),B(0),A(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),B(0),B(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),B(0),C(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),B(0),D(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),B(0),E(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),B(0),F(0)><I>, taskSize=40, id=ally1: 1}
DecryptedTask{initialCode=<4,2,1><A(0),B(0),G(0)><I>, taskSize=40, id=ally1: 1}
